"females","males","av.length","depth","flow","river"
3,2,-0.235696575650777,0.6,27.27,2
14,9,1.48992875806346,0.6933,5.17,2
8,4,1.00651362400518,0.39,12,2
15,11,1.16577134190979,0.3867,3.21,2
3,2,1.54327111768368,0.4467,5.77,2
11,8,-0.506900361930441,0.3067,2.83,1
9,6,-0.153904957566434,0.1433,2.5,1
3,2,0.316396846418539,0.29,23.08,1
2,3,-0.297040289214034,0.2633,3.41,1
6,4,0.469756130326682,0.2433,2.05,1
3,2,-0.0516654349610048,0.3033,8.82,1
3,5,0.431416309349646,0.2867,5.88,1
6,7,0.528740470291353,0.19,6.38,1
5,3,-0.105341184328855,0.2267,5.77,1
8,2,0.531099843889939,0.16,6.38,1
8,5,-0.910477424846607,0.3433,4.17,1
3,4,-0.209406412695095,0.45,4.55,1
4,4,-0.182020826282927,0.78,3,1
6,3,-0.194800766608606,0.94,3.16,1
4,2,1.79886992419726,1.02,5.66,1
10,3,-0.202665345270562,0.95,9.38,1
6,9,-0.0516654349610048,0.6367,4.05,1
2,3,0.0710219921655093,0.8033,2.5,1
6,5,0.149095809427837,0.6533,2.34,1
22,2,1.93944926777972,0.5,6.67,1
9,0,0.248237164681586,0.5133,11.11,5
